ABus,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ACE,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ACM,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Activity,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BIM 360 Locations,MCP-Construction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
CloudOS 2.0,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
CSE.V2,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Derivative Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge - Webhooks,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge Content Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge HFDM,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge Reality Capture API,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
HDS,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Identity,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LEM,DPE-SPG,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Metering V2,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Notifications,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
OSS,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
RaaS,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Revit Cloud Upgrade,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Search Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Translation Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BIM 360 Insight,MCP-Construction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,0.98
Forge - Locale service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,0.93,1.00,1.00,0.98
Forge - Subscription service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,0.93,1.00,1.00,0.98
Forge Schema Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,0.92,1.00,1.00,1.00,1.00,0.98
Ariba on Cloud,DPE-DBP,1.00,1.00,1.00,1.00,0.92,0.75,1.00,1.00,1.00,0.97
BIM 360 Design Collaboration,MCP-Construction,1.00,1.00,1.00,0.89,1.00,1.00,0.90,1.00,1.00,0.97
BIM 360 Reports,MCP-Construction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,0.97
Computation Graph Service,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,0.85,1.00,1.00,1.00,1.00,0.97
Fusion Web,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,1.00,1.00,0.67,1.00,0.97
Fusion Workflow Service,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,1.00,0.90,1.00,1.00,0.97
Workflow Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,0.75,0.90,1.00,1.00,0.97
BIM 360 Data Platform,MCP-Construction,0.86,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.83,0.95
BIM 360 HQ,MCP-Construction,1.00,0.83,1.00,1.00,1.00,1.00,1.00,0.33,1.00,0.95
ECCR CORE API,DPE-SPG,1.00,1.00,1.00,1.00,0.85,1.00,0.93,1.00,1.00,0.95
Exchange AppStore,MCP-Cloud Platform,0.86,1.00,1.00,1.00,1.00,1.00,0.87,1.00,1.00,0.95
Fusion JS,MCP-Manufacturing,0.71,1.00,0.75,1.00,1.00,1.00,1.00,1.00,1.00,0.95
Fusion Lifecycle,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,1.00,0.90,0.67,1.00,0.95
Thunderstorm,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,0.85,1.00,1.00,0.67,1.00,0.95
Concur,DPE-DBP,0.86,0.83,1.00,1.00,0.85,1.00,1.00,1.00,1.00,0.94
Fusion Abus Adapter,MCP-Manufacturing,0.86,1.00,1.00,1.00,0.92,0.75,0.90,1.00,1.00,0.94
WIPDM,MCP-Cloud Platform,1.00,1.00,0.75,1.00,0.85,1.00,1.00,0.67,1.00,0.94
BIM 360 Nucleus,MCP-Construction,1.00,1.00,1.00,1.00,0.92,1.00,0.73,1.00,1.00,0.92
Exchange Gallery,MCP-Cloud Platform,0.71,1.00,1.00,1.00,0.92,1.00,0.87,1.00,1.00,0.92
Forge - DM,MCP-Cloud Platform,1.00,0.83,1.00,0.75,0.77,1.00,1.00,1.00,1.00,0.92
Fusion Notification Service,MCP-Manufacturing,0.86,0.83,1.00,1.00,0.92,0.75,0.90,1.00,1.00,0.92
Ping Federate,MCP-Cloud Platform,1.00,1.00,1.00,1.00,0.92,0.50,1.00,0.67,0.83,0.92
Workday,DPE-DBP,0.57,1.00,1.00,1.00,0.92,1.00,1.00,0.67,1.00,0.92
BIM 360 Checklists,MCP-Construction,1.00,0.83,1.00,1.00,0.85,0.75,1.00,0.33,1.00,0.90
BIM DOS,MCP-Construction,1.00,1.00,1.00,1.00,0.85,1.00,0.73,1.00,1.00,0.90
Helium,MCP-Cloud Platform,1.00,0.83,1.00,1.00,0.85,1.00,0.93,0.67,0.83,0.90
Revit Cloud Worksharing (Collaboration for Revit - C4R),DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,0.69,0.75,1.00,0.67,1.00,0.90
BIM 360 Submittals & Workflows,MCP-Construction,1.00,0.83,1.00,1.00,0.77,0.75,1.00,0.33,1.00,0.89
BIM360 Photos,MCP-Cloud Platform,1.00,0.50,0.75,1.00,0.85,0.75,1.00,1.00,1.00,0.89
ASIMS,DPE-DAA,1.00,0.67,1.00,1.00,0.85,1.00,1.00,1.00,0.33,0.87
BIM 360 Daily Logs,MCP-Construction,1.00,0.67,1.00,0.50,0.92,0.75,1.00,0.33,1.00,0.87
BIM 360 Docs,MCP-Construction,1.00,1.00,1.00,1.00,0.54,1.00,1.00,0.33,1.00,0.87
FusionAnyCAD,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,0.75,0.40,1.00,1.00,0.87
BIM 360 Apps,MCP-Construction,1.00,0.83,1.00,1.00,0.85,0.75,0.80,0.33,1.00,0.85
BIM 360 Docs Command Processor,MCP-Construction,1.00,1.00,1.00,1.00,0.85,1.00,0.67,0.33,1.00,0.85
Change Data Capture Service,DPE-DES,0.86,1.00,1.00,1.00,1.00,1.00,0.62,0.67,0.67,0.85
Core Reporting,DPE-SPG,1.00,0.83,1.00,0.75,0.85,0.75,0.87,0.67,0.83,0.85
Forge - API gateway,MCP-Cloud Platform,1.00,1.00,1.00,1.00,0.46,1.00,1.00,1.00,0.67,0.85
Informatica,DPE-DES,1.00,0.67,0.75,1.00,0.85,0.75,1.00,0.67,0.67,0.85
NTP,DPE-DES,1.00,0.83,1.00,1.00,0.85,0.50,1.00,0.67,0.50,0.85
CitiEncryption,DPE-DES,1.00,1.00,1.00,1.00,0.69,0.75,1.00,0.67,0.33,0.84
Fusion MAS Receipt Validator,MCP-Manufacturing,0.71,1.00,0.75,1.00,0.69,0.75,0.80,1.00,1.00,0.84
Nitrogen,MCP-Cloud Platform,0.86,0.83,1.00,1.00,0.77,1.00,0.80,0.33,1.00,0.84
PossibleNow,DPE-DAA,0.86,1.00,0.75,1.00,0.69,0.25,0.91,1.00,0.83,0.84
BIM 360 Cost,MCP-Construction,1.00,0.83,1.00,1.00,0.77,1.00,0.67,0.33,1.00,0.82
BIM 360 Next Gen Issues,MCP-Construction,0.86,0.83,1.00,0.25,0.77,0.75,1.00,0.33,1.00,0.82
Digital Help - ABuS,DPE-DHX,1.00,1.00,0.50,1.00,0.85,0.75,0.73,1.00,0.67,0.82
Fusion Production,MCP-Manufacturing,1.00,1.00,1.00,0.56,1.00,1.00,0.50,1.00,0.67,0.82
IXOS,DPE-DES,0.71,0.50,1.00,1.00,1.00,0.75,0.93,1.00,0.33,0.82
RevPro,DPE-DBP,1.00,0.83,0.50,1.00,0.77,0.75,0.93,1.00,0.50,0.82
Sim Service,MCP-Manufacturing,0.86,0.83,0.25,0.89,0.92,1.00,0.80,0.33,1.00,0.82
BIM 360 Plan,MCP-Construction,0.86,0.83,1.00,1.00,0.46,1.00,1.00,0.00,1.00,0.81
Comments V2,MCP-Cloud Platform,1.00,0.83,0.50,1.00,0.62,1.00,0.80,0.67,1.00,0.81
Fusion Landing Page for non-China,MCP-Manufacturing,0.71,1.00,0.50,1.00,0.85,1.00,0.50,0.67,1.00,0.81
Fusion PIM (Product Information Model),MCP-Manufacturing,0.57,0.50,1.00,0.89,0.92,1.00,0.90,0.00,1.00,0.81
Autodesk Viewer (viewer.autodesk.com),MCP-Cloud Platform,1.00,1.00,0.75,1.00,0.85,1.00,0.40,1.00,0.83,0.79
External DNS,DPE-DES,1.00,1.00,0.75,1.00,0.92,0.00,0.80,1.00,0.33,0.79
HIG,MCP-Other,0.43,0.83,0.50,1.00,0.92,1.00,0.87,1.00,0.50,0.79
Slayer-nginx,DPE-SPG,1.00,1.00,0.50,0.75,0.77,0.50,0.87,1.00,0.50,0.79
AUM,DPE-SPG,0.86,1.00,0.50,0.89,0.85,0.50,0.45,1.00,1.00,0.78
AutoCAD Backend,DCP-AutoCAD Family,0.86,1.00,1.00,0.44,0.85,1.00,0.70,0.33,0.83,0.77
InfraWorks Translation,DCP-Building Infrastructure Design,1.00,0.83,1.00,0.78,0.31,1.00,1.00,0.33,1.00,0.77
Paymetric,DPE-DBP,0.71,0.83,0.00,1.00,1.00,0.75,1.00,0.67,0.17,0.77
RevPro Data Loader,DPE-DBP,1.00,0.67,0.25,1.00,0.77,0.50,0.80,1.00,0.83,0.77
BIM 360 Issues,MCP-Construction,1.00,0.50,1.00,1.00,0.77,0.50,0.67,0.33,1.00,0.76
Design Automation V3,DCP-Shared Service,0.29,0.50,0.75,1.00,0.62,1.00,1.00,0.67,1.00,0.76
Digital Help - Crucible,DPE-DHX,0.71,1.00,1.00,1.00,0.54,0.75,0.80,1.00,0.50,0.76
Generative Cloud Platform,MCP-Manufacturing,0.71,0.83,0.75,1.00,0.85,1.00,0.53,0.67,0.83,0.76
Generative Design (Explore),MCP-Manufacturing,1.00,0.67,1.00,1.00,0.77,1.00,0.53,0.67,0.67,0.76
Insight (GBS),DCP-Building Infrastructure Design,0.43,1.00,1.00,0.78,0.77,1.00,0.50,0.67,1.00,0.76
Slayer-IdentitySyncService,DPE-SPG,0.86,0.83,0.50,1.00,0.77,0.50,0.80,1.00,0.50,0.76
Wingman Server,DPE-SPG,1.00,0.83,1.00,1.00,0.77,1.00,0.00,1.00,0.83,0.75
CloudPC,DPE-DES,1.00,0.67,0.00,1.00,0.69,0.25,1.00,0.67,0.67,0.74
FusionTeam (A360),MCP-Manufacturing,1.00,0.67,1.00,1.00,0.69,0.75,0.53,0.33,1.00,0.74
InfraWorks Bridge Analysis,DCP-Building Infrastructure Design,0.43,0.33,0.00,1.00,1.00,0.50,1.00,0.33,1.00,0.74
Infraworks Model Storage,DCP-Building Infrastructure Design,1.00,0.83,0.75,0.78,0.31,0.75,1.00,0.33,1.00,0.74
Infraworks Watershed Analysis,DCP-Building Infrastructure Design,0.86,0.50,0.50,1.00,0.38,1.00,1.00,0.33,1.00,0.74
References,MCP-Cloud Platform,0.86,0.83,0.50,1.00,0.62,1.00,0.60,0.67,1.00,0.74
SAP - Order Entry,DPE-DBP,0.86,0.67,0.75,1.00,0.77,0.50,1.00,0.67,0.00,0.74
Slayer-panda,DPE-SPG,0.86,0.67,0.50,1.00,0.77,0.50,0.80,1.00,0.50,0.74
Fusion Mobile (Nova),MCP-Manufacturing,1.00,0.67,1.00,0.56,0.69,0.75,0.60,0.33,1.00,0.73
FusionDM,MCP-Manufacturing,1.00,0.50,1.00,1.00,0.69,1.00,0.47,0.33,1.00,0.73
FusionSymphonyDM,MCP-Manufacturing,0.86,0.50,1.00,1.00,0.77,1.00,0.47,0.33,1.00,0.73
SketchBook.com,DCP-Automotive & Conceptual Design,0.14,0.67,0.75,1.00,0.92,0.50,0.87,0.33,0.83,0.73
CLS,DPE-SPG,0.86,1.00,1.00,0.78,0.69,1.00,0.09,0.67,1.00,0.71
SPOC-PayPort,DPE-SPG,0.71,0.83,0.75,1.00,0.92,1.00,0.00,1.00,0.67,0.71
BIC Reporting,DPE-DES,1.00,0.50,1.00,1.00,0.62,0.75,0.73,0.33,0.33,0.69
BIM 360 Glue,MCP-Construction,0.86,0.50,0.75,1.00,0.62,0.75,0.67,0.33,0.83,0.69
Cloud Solid Modeling,MCP-Cloud Platform,0.86,0.83,1.00,0.89,0.46,0.50,0.50,0.33,1.00,0.69
Fusion Landing Pages for China,MCP-Manufacturing,0.29,1.00,0.50,1.00,0.85,1.00,0.40,0.33,0.67,0.69
Fusion Supportal,MCP-Manufacturing,0.86,0.67,1.00,0.75,0.69,1.00,0.40,0.33,1.00,0.69
InfraWorks Model Builder,DCP-Building Infrastructure Design,0.71,0.50,0.75,0.78,0.38,0.75,1.00,0.33,1.00,0.69
Infraworks Traffic Simulation,DCP-Building Infrastructure Design,0.71,0.67,0.75,0.78,0.46,0.50,1.00,0.00,1.00,0.69
Shotgun,MCP-Production,0.86,1.00,0.75,0.78,0.77,1.00,0.50,0.00,0.33,0.69
Tempest,MCP-Production,0.29,0.83,0.25,0.75,0.62,1.00,0.93,0.67,0.67,0.69
Account Portal,DPE-SPG,0.86,0.67,0.50,1.00,0.54,1.00,0.45,0.67,0.67,0.68
ECS Vapor,DPE-DES,0.86,0.67,0.75,1.00,0.62,0.75,0.47,0.67,0.83,0.68
SPOC-Payport Agent,DPE-SPG,0.57,0.83,0.75,1.00,0.92,1.00,0.00,0.67,0.67,0.68
